section_number, image_url, image_format, image_width, image_height, atlas_url, atlas_format, viewer_url
1,http://api.brain-map.org/api/v2/atlas_image_download/101892562?downsample=0&annotation=false&atlas=3,jpg,10160,13648,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892562&zoom=-5
26,http://api.brain-map.org/api/v2/atlas_image_download/101892548?downsample=0&annotation=false&atlas=3,jpg,12288,21440,http://api.brain-map.org/api/v2/svg/101892548?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892548&zoom=-5
51,http://api.brain-map.org/api/v2/atlas_image_download/101892534?downsample=0&annotation=false&atlas=3,jpg,13424,21440,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892534&zoom=-5
52,http://api.brain-map.org/api/v2/atlas_image_download/101892561?downsample=0&annotation=false&atlas=3,jpg,14560,26320,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892561&zoom=-5
77,http://api.brain-map.org/api/v2/atlas_image_download/101892547?downsample=0&annotation=false&atlas=3,jpg,17008,24368,http://api.brain-map.org/api/v2/svg/101892547?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892547&zoom=-5
102,http://api.brain-map.org/api/v2/atlas_image_download/101892533?downsample=0&annotation=false&atlas=3,jpg,15248,25344,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892533&zoom=-5
103,http://api.brain-map.org/api/v2/atlas_image_download/101892560?downsample=0&annotation=false&atlas=3,jpg,14624,23392,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892560&zoom=-5
128,http://api.brain-map.org/api/v2/atlas_image_download/101892546?downsample=0&annotation=false&atlas=3,jpg,19712,29248,http://api.brain-map.org/api/v2/svg/101892546?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892546&zoom=-5
153,http://api.brain-map.org/api/v2/atlas_image_download/101892532?downsample=0&annotation=false&atlas=3,jpg,18704,30224,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892532&zoom=-5
154,http://api.brain-map.org/api/v2/atlas_image_download/101892559?downsample=0&annotation=false&atlas=3,jpg,15376,25344,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892559&zoom=-5
179,http://api.brain-map.org/api/v2/atlas_image_download/101892545?downsample=0&annotation=false&atlas=3,jpg,18512,32176,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892545&zoom=-5
204,http://api.brain-map.org/api/v2/atlas_image_download/101892531?downsample=0&annotation=false&atlas=3,jpg,18128,36064,http://api.brain-map.org/api/v2/svg/101892531?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892531&zoom=-5
205,http://api.brain-map.org/api/v2/atlas_image_download/101892558?downsample=0&annotation=false&atlas=3,jpg,16256,30224,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892558&zoom=-5
230,http://api.brain-map.org/api/v2/atlas_image_download/101892544?downsample=0&annotation=false&atlas=3,jpg,17824,33152,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892544&zoom=-5
255,http://api.brain-map.org/api/v2/atlas_image_download/101892530?downsample=0&annotation=false&atlas=3,jpg,18544,39040,http://api.brain-map.org/api/v2/svg/101892530?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892530&zoom=-5
256,http://api.brain-map.org/api/v2/atlas_image_download/101892557?downsample=0&annotation=false&atlas=3,jpg,17888,35104,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892557&zoom=-5
281,http://api.brain-map.org/api/v2/atlas_image_download/101892543?downsample=0&annotation=false&atlas=3,jpg,19376,36112,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892543&zoom=-5
306,http://api.brain-map.org/api/v2/atlas_image_download/101892529?downsample=0&annotation=false&atlas=3,jpg,19376,36112,http://api.brain-map.org/api/v2/svg/101892529?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892529&zoom=-5
307,http://api.brain-map.org/api/v2/atlas_image_download/101892556?downsample=0&annotation=false&atlas=3,jpg,19024,35104,,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892556&zoom=-5
332,http://api.brain-map.org/api/v2/atlas_image_download/101892542?downsample=0&annotation=false&atlas=3,jpg,22176,36064,http://api.brain-map.org/api/v2/svg/101892542?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892542&zoom=-5
357,http://api.brain-map.org/api/v2/atlas_image_download/101892528?downsample=0&annotation=false&atlas=3,jpg,19632,38064,http://api.brain-map.org/api/v2/svg/101892528?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892528&zoom=-5
358,http://api.brain-map.org/api/v2/atlas_image_download/101892555?downsample=0&annotation=false&atlas=3,jpg,19776,36064,http://api.brain-map.org/api/v2/svg/101892555?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892555&zoom=-5
383,http://api.brain-map.org/api/v2/atlas_image_download/101892541?downsample=0&annotation=false&atlas=3,jpg,19904,38016,http://api.brain-map.org/api/v2/svg/101892541?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892541&zoom=-5
408,http://api.brain-map.org/api/v2/atlas_image_download/101892527?downsample=0&annotation=false&atlas=3,jpg,18464,40016,http://api.brain-map.org/api/v2/svg/101892527?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892527&zoom=-5
434,http://api.brain-map.org/api/v2/atlas_image_download/101892540?downsample=0&annotation=false&atlas=3,jpg,20528,38016,http://api.brain-map.org/api/v2/svg/101892540?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892540&zoom=-5
