section_number, image_url, image_format, image_resolution_mpp, image_width, image_height, atlas_url, atlas_format, viewer_url
1,data2d/specimen_3/Specimen_3_1.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=1&type=hd
37,data2d/specimen_3/Specimen_3_37.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=37&type=hd
40,data2d/specimen_3/Specimen_3_40.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=40&type=hd
43,data2d/specimen_3/Specimen_3_43.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=43&type=hd
46,data2d/specimen_3/Specimen_3_46.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=46&type=hd
49,data2d/specimen_3/Specimen_3_49.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=49&type=hd
52,data2d/specimen_3/Specimen_3_52.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=52&type=hd
55,data2d/specimen_3/Specimen_3_55.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=55&type=hd
61,data2d/specimen_3/Specimen_3_61.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=61&type=hd
67,data2d/specimen_3/Specimen_3_67.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=67&type=hd
73,data2d/specimen_3/Specimen_3_73.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=73&type=hd
76,data2d/specimen_3/Specimen_3_76.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=76&type=hd
85,data2d/specimen_3/Specimen_3_85.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=85&type=hd
91,data2d/specimen_3/Specimen_3_91.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=91&type=hd
94,data2d/specimen_3/Specimen_3_94.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=94&type=hd
97,data2d/specimen_3/Specimen_3_97.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=97&type=hd
100,data2d/specimen_3/Specimen_3_100.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=100&type=hd
103,data2d/specimen_3/Specimen_3_103.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=103&type=hd
109,data2d/specimen_3/Specimen_3_109.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=109&type=hd
112,data2d/specimen_3/Specimen_3_112.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=112&type=hd
115,data2d/specimen_3/Specimen_3_115.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=115&type=hd
118,data2d/specimen_3/Specimen_3_118.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=118&type=hd
121,data2d/specimen_3/Specimen_3_121.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=121&type=hd
124,data2d/specimen_3/Specimen_3_124.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=124&type=hd
127,data2d/specimen_3/Specimen_3_127.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=127&type=hd
130,data2d/specimen_3/Specimen_3_130.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=130&type=hd
133,data2d/specimen_3/Specimen_3_133.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=133&type=hd
136,data2d/specimen_3/Specimen_3_136.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=136&type=hd
139,data2d/specimen_3/Specimen_3_139.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=139&type=hd
142,data2d/specimen_3/Specimen_3_142.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=142&type=hd
145,data2d/specimen_3/Specimen_3_145.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=145&type=hd
148,data2d/specimen_3/Specimen_3_148.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=148&type=hd
151,data2d/specimen_3/Specimen_3_151.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=151&type=hd
154,data2d/specimen_3/Specimen_3_154.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=154&type=hd
160,data2d/specimen_3/Specimen_3_160.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=160&type=hd
163,data2d/specimen_3/Specimen_3_163.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=163&type=hd
166,data2d/specimen_3/Specimen_3_166.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=166&type=hd
169,data2d/specimen_3/Specimen_3_169.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=169&type=hd
175,data2d/specimen_3/Specimen_3_175.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=175&type=hd
178,data2d/specimen_3/Specimen_3_178.tif,tif,1,80000,80000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_3/Specimen_3_178.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=178
181,data2d/specimen_3/Specimen_3_181.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=181&type=hd
184,data2d/specimen_3/Specimen_3_184.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=184&type=hd
187,data2d/specimen_3/Specimen_3_187.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=187&type=hd
190,data2d/specimen_3/Specimen_3_190.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=190&type=hd
193,data2d/specimen_3/Specimen_3_193.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=193&type=hd
196,data2d/specimen_3/Specimen_3_196.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=196&type=hd
199,data2d/specimen_3/Specimen_3_199.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=199&type=hd
202,data2d/specimen_3/Specimen_3_202.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=202&type=hd
205,data2d/specimen_3/Specimen_3_205.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=205&type=hd
208,data2d/specimen_3/Specimen_3_208.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=208&type=hd
211,data2d/specimen_3/Specimen_3_211.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=211&type=hd
214,data2d/specimen_3/Specimen_3_214.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=214&type=hd
217,data2d/specimen_3/Specimen_3_217.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=217&type=hd
220,data2d/specimen_3/Specimen_3_220.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=220&type=hd
223,data2d/specimen_3/Specimen_3_223.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=223&type=hd
