"Segment","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1211,620.03,0.62003,1261.13,2322.7,1855.85,1880.35,289.521
"Precentral R",1205,616.958,0.616958,1294.14,2353.31,1920.59,2004.51,278.576
"Frontal Sup L",1334,683.005,0.683005,1387.36,2493.41,1887.81,1918.53,203.884
"Frontal Sup R",1106,566.27,0.56627,1442.88,2496.61,1881.59,1888.59,211.717
"Frontal Sup Orb L",357,182.783,0.182783,1025.85,2225.31,1967.54,2003.29,157.509
"Frontal Sup Orb R",450,230.399,0.230399,1472.21,2242.32,1982.72,1996.64,143.905
"Frontal Mid L",1564,800.765,0.800765,1448.81,2268.88,1913.86,1948.14,187.361
"Frontal Mid R",1818,930.813,0.930813,1390.02,2425.22,1919.37,1965.53,225.443
"Frontal Mid Orb L",342,175.103,0.175103,1208.21,2153.69,1857.53,1865.83,167.631
"Frontal Mid Orb R",545,279.039,0.279039,1190.24,2274.24,1902.23,1894.97,204.838
"Frontal Inf Oper L",274,140.287,0.140287,1324.13,2246.61,1813.1,1849.93,257.791
"Frontal Inf Oper R",168,86.0157,0.0860157,1207.96,2284.57,1804.97,1828.23,303.211
"Frontal Inf Tri L",292,149.503,0.149503,1349.38,2195.89,1731.76,1714.65,239.506
"Frontal Inf Tri R",384,196.607,0.196607,1321.17,2232.85,1732.79,1695.4,263.711
"Frontal Inf Orb L",492,251.903,0.251903,1374.24,2292.46,1840.34,1849.4,194.76
"Frontal Inf Orb R",511,261.631,0.261631,1386.09,2361.66,1806.63,1815.05,198.5
"Rolandic Oper L",629,322.047,0.322047,1212.71,2355.96,1916.58,2043.17,310.37
"Rolandic Oper R",213,109.056,0.109056,1248.86,2330.39,1699.27,1691.47,271.008
"Supp Motor Area L",893,457.214,0.457214,1192.87,2609.79,1741.2,1733.47,252.43
"Supp Motor Area R",941,481.79,0.48179,1202.44,2609.8,1782.89,1803.51,266.598
"Olfactory L",494,252.927,0.252927,1398.49,2233.76,1757.42,1755.76,152.075
"Olfactory R",476,243.711,0.243711,1471.03,2556.88,1757.6,1746.34,142.945
"Frontal Sup Medial L",1331,681.469,0.681469,1338.36,2552.79,1868.39,1898.96,220.133
"Frontal Sup Medial R",1355,693.757,0.693757,1312.68,2302.76,1897.3,1940.12,222.911
"Frontal Med Orb L",95,48.6398,0.0486398,1602.9,2122.25,1954.55,1998.34,124.209
"Frontal Med Orb R",66,33.7919,0.0337919,1666.5,2079.43,1873.6,1880.51,135.174
"Rectus L",432,221.183,0.221183,1351.47,2406.56,1824.17,1825.79,142.704
"Rectus R",464,237.567,0.237567,1412.76,2201.91,1835.99,1846.58,135.505
"Insula L",719,368.127,0.368127,1136.45,2240.39,1650.15,1654.56,167.392
"Insula R",778,398.335,0.398335,1238.27,2276.09,1660.42,1657.81,178.32
"Cingulum Ant L",723,370.175,0.370175,1385.79,2144.12,1744.4,1740.39,155.854
"Cingulum Ant R",830,424.958,0.424958,1342.43,2185.78,1737.42,1736.72,172.389
"Cingulum Mid L",937,479.742,0.479742,1331.54,2106.85,1699.88,1696.15,185.258
"Cingulum Mid R",1036,530.43,0.53043,1251.61,2205.6,1727.36,1742.04,197.557
"Cingulum Post L",542,277.503,0.277503,1288.87,2096.09,1639.76,1615.96,158.102
"Cingulum Post R",548,280.575,0.280575,1344.41,2208.7,1633.49,1617.39,164.077
"Hippocampus L",781,399.87,0.39987,1068.05,2091.65,1499.34,1479.56,175.546
"Hippocampus R",971,497.15,0.49715,1198.55,2068.07,1521.57,1504.18,153.45
"ParaHippocampal L",764,391.167,0.391167,1295.14,2141.81,1649.55,1629.84,167.239
"ParaHippocampal R",615,314.879,0.314879,1322.03,2231.71,1670.51,1654.35,158.106
"Amygdala L",162,82.9437,0.0829437,1487.58,1790.29,1670.43,1667.06,57.7029
"Amygdala R",136,69.6317,0.0696317,1552.23,1815.1,1705.07,1713.32,49.8102
"Calcarine L",772,395.263,0.395263,1293.26,2367.31,1685.85,1692.48,179.472
"Calcarine R",729,373.247,0.373247,1230.96,2203.52,1641.41,1645.42,177.386
"Cuneus L",446,228.351,0.228351,1152.14,2048.07,1552.75,1517.26,215.856
"Cuneus R",432,221.183,0.221183,1175.8,2051.4,1528.43,1484.72,209.226
"Lingual L",1650,844.797,0.844797,1109.25,2389.96,1611.83,1596.71,193.605
"Lingual R",1440,737.277,0.737277,1145.56,2251.02,1626.07,1620.53,197.058
"Occipital Sup L",517,264.703,0.264703,1209.98,2241.98,1695.65,1684.87,271.934
"Occipital Sup R",554,283.647,0.283647,1228.47,2104.42,1673.79,1656.58,228.332
"Occipital Mid L",944,483.326,0.483326,1295.69,2360.37,1764.68,1770.06,215.82
"Occipital Mid R",937,479.742,0.479742,1308.58,2325.67,1783.31,1788.67,191.579
"Occipital Inf L",546,279.551,0.279551,1309.96,2298.54,1684.9,1663.28,195.021
"Occipital Inf R",731,374.271,0.374271,1291.05,2182.95,1719.9,1693.81,174.901
"Fusiform L",1728,884.733,0.884733,1302.4,2385.57,1721.44,1733.16,178.567
"Fusiform R",1538,787.453,0.787453,1317.82,2198.11,1740.69,1751.66,154.735
"Postcentral L",1006,515.07,0.51507,1144.96,2658.94,1819.06,1825.63,343.791
"Postcentral R",1172,600.062,0.600062,1140.57,2377.84,1897.57,1938.79,309.416
"Parietal Sup L",1055,540.158,0.540158,1162.44,2354.61,1792.26,1885.45,315.588
"Parietal Sup R",926,474.11,0.47411,1202.47,2303.93,1782.12,1811.7,295.77
"Parietal Inf L",622,318.463,0.318463,1177.08,2520.35,1778.76,1829.78,324.017
"Parietal Inf R",749,383.487,0.383487,1095.97,2346.75,1747.06,1721.14,301.063
"SupraMarginal L",424,217.087,0.217087,1142.43,2286.69,1812.59,1872.32,314.746
"SupraMarginal R",380,194.559,0.194559,1142.87,2513.96,1746.53,1759.53,320.822
"Angular L",844,432.126,0.432126,1201.75,2393.69,1717.12,1689.76,289.461
"Angular R",520,266.239,0.266239,1259.35,2095.99,1657.1,1629.41,190.562
"Precuneus L",1700,870.397,0.870397,1175.35,2253.21,1687.74,1714.12,251.107
"Precuneus R",1874,959.484,0.959484,1138.53,2284.21,1700.16,1744.69,255.723
"Paracentral Lobule L",215,110.08,0.11008,1204.24,2383.62,1662.08,1606.07,281.796
"Paracentral Lobule R",250,128,0.128,1178.83,2179.62,1668.67,1662.96,262.371
"Caudate L",1103,564.734,0.564734,918.552,1939.94,1444.35,1471,200.673
"Caudate R",1074,549.886,0.549886,837.08,2010.31,1443.54,1452.02,225.019
"Putamen L",965,494.078,0.494078,1472.05,1982.34,1753.2,1741.66,74.2139
"Putamen R",966,494.59,0.49459,1577.07,2005.65,1778.95,1778.67,73.5568
"Thalamus L",1230,629.758,0.629758,1409.7,2297.48,1788.16,1771.28,148.75
"Thalamus R",1303,667.133,0.667133,1529.2,2339.23,1790.39,1778.83,120.177
"Heschl L",230,117.76,0.11776,1297.59,2103.3,1639.14,1603.25,229.494
"Heschl R",108,55.2958,0.0552958,1280.89,1982.01,1589.01,1559.7,172.679
"Temporal Sup L",634,324.607,0.324607,1135.22,2209.21,1716.46,1736.35,286.469
"Temporal Sup R",959,491.006,0.491006,1154.18,2260.74,1754.2,1752.67,303.907
"Temporal Pole Sup L",299,153.087,0.153087,1472.94,2266.74,1768.59,1738.05,173.537
"Temporal Pole Sup R",299,153.087,0.153087,1349.14,2343.65,1698.12,1668.39,189.212
"Temporal Mid L",1080,552.958,0.552958,1223.91,2220.13,1758.41,1774.42,244.424
"Temporal Mid R",1240,634.878,0.634878,1232.06,2482.19,1734.63,1715.08,244.334
"Temporal Pole Mid L",169,86.5277,0.0865277,1471.24,2405.71,1832.69,1829.19,204.798
"Temporal Pole Mid R",190,97.2796,0.0972796,1464.96,2321.08,1840.12,1823.71,194.208
"Temporal Inf L",1301,666.109,0.666109,1282.59,2234.18,1774.66,1785.27,209.226
