"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1985.2,9530,4879.34,4.87934,1337,2307,1774.52,1777,162.683
"Precentral R",1943.35,9384,4804.59,4.80459,1308,2484,1817.09,1836,171.088
"Frontal Sup L",2276.22,8060,4126.7,4.1267,1381,2337,1817.43,1821,185.717
"Frontal Sup R",2153.73,7711,3948.02,3.94802,1352,2352,1810.74,1807,187.083
"Frontal Sup Orb L",1080.95,3308,1693.69,1.69369,1205,2205,1884.15,1939,189.908
"Frontal Sup Orb R",1095.49,3493,1788.41,1.78841,1029,2249,1877.31,1924,192.558
"Frontal Mid L",2511.74,11759,6020.59,6.02059,1411,2293,1837.53,1865,153.446
"Frontal Mid R",2557.68,12541,6420.97,6.42097,1396,2249,1861.14,1895,167.623
"Frontal Mid Orb L",924.147,2838,1453.05,1.45305,1278,2219,1787.07,1792,201.321
"Frontal Mid Orb R",1094.38,3959,2027,2.027,1337,2278,1857.98,1910,213.716
"Frontal Inf Oper L",795.093,3121,1597.95,1.59795,1352,2307,1810.66,1851,148.117
"Frontal Inf Oper R",745.718,2863,1465.85,1.46585,1278,2087,1808.28,1851,162.081
"Frontal Inf Tri L",819.838,3008,1540.09,1.54009,1425,2205,1799.15,1821,160.039
"Frontal Inf Tri R",696.391,2281,1167.87,1.16787,1367,2116,1764.91,1763,155.429
"Frontal Inf Orb L",1240.87,5301,2714.1,2.7141,1073,2175,1814.8,1851,194.593
"Frontal Inf Orb R",1165.17,4773,2443.77,2.44377,1029,2205,1796.69,1821,196.416
"Rolandic Oper L",1246.63,5072,2596.85,2.59685,1264,2205,1785.78,1807,174.156
"Rolandic Oper R",981.486,2972,1521.66,1.52166,1190,2307,1751,1748,174.476
"Supp Motor Area L",1623.19,6164,3155.96,3.15596,1264,2352,1801.98,1792,224.839
"Supp Motor Area R",1486.03,5994,3068.92,3.06892,1308,2352,1820.14,1821,235.238
"Olfactory L",814.567,2140,1095.68,1.09568,1352,2175,1782.62,1777,177.064
"Olfactory R",816.508,1983,1015.29,1.01529,1367,2440,1783.85,1763,178.073
"Frontal Sup Medial L",1366.8,5642,2888.69,2.88869,1381,2249,1847.1,1865,205.129
"Frontal Sup Medial R",1396.55,6049,3097.08,3.09708,1381,2307,1860.56,1880,211.01
"Frontal Med Orb L",468.423,1139,583.166,0.583166,1411,2058,1733.65,1748,157.449
"Frontal Med Orb R",414.787,871,445.95,0.44595,1396,2013,1696.01,1689,132.595
"Rectus L",814.986,2184,1118.2,1.1182,1323,2219,1771.86,1777,175.001
"Rectus R",904.886,2494,1276.92,1.27692,1337,2160,1780.44,1792,176.863
"Insula L",1712.97,5111,2616.82,2.61682,1220,2146,1725.15,1718,175.428
"Insula R",1728.44,5324,2725.88,2.72588,1234,2175,1741.99,1748,173.026
"Cingulum Ant L",1065.55,3741,1915.38,1.91538,1411,2043,1755.33,1777,119.807
"Cingulum Ant R",1084.59,3748,1918.97,1.91897,1440,2013,1763.2,1792,118.015
"Cingulum Mid L",1462.14,4875,2495.99,2.49599,1396,2205,1771.93,1777,142.447
"Cingulum Mid R",1616.61,5651,2893.3,2.8933,1396,2249,1781.34,1792,144.018
"Cingulum Post L",474.745,1232,630.782,0.630782,1381,2263,1718.36,1704,157.845
"Cingulum Post R",508.378,1339,685.565,0.685565,1411,2131,1718.54,1704,151.034
"Hippocampus L",1031.02,2459,1259,1.259,1293,2234,1617.86,1616,134.058
"Hippocampus R",1093.5,2634,1348.6,1.3486,1249,2102,1616.83,1616,134.133
"ParaHippocampal L",1418.55,4192,2146.3,2.1463,1146,2352,1688.37,1704,219.038
"ParaHippocampal R",1291.71,3701,1894.9,1.8949,1190,2352,1702.01,1704,209.2
"Amygdala L",256.665,646,330.751,0.330751,1455,1955,1669.99,1674,80.7697
"Amygdala R",260.325,644,329.727,0.329727,1411,2043,1671.36,1674,89.7473
"Calcarine L",1321.13,5259,2692.6,2.6926,1337,2454,1792.61,1792,167.525
"Calcarine R",1324.07,4935,2526.71,2.52671,1234,2205,1768.77,1763,161.934
"Cuneus L",1027.82,2815,1441.27,1.44127,1278,2337,1739.23,1718,205.182
"Cuneus R",799.862,2175,1113.6,1.1136,1323,2263,1732.69,1718,188.888
"Lingual L",2071.11,10155,5199.34,5.19934,1293,2322,1776.92,1777,173.008
"Lingual R",1954.85,9392,4808.69,4.80869,1205,2410,1794.69,1792,175.728
"Occipital Sup L",1074.16,3373,1726.97,1.72697,1381,2190,1771.21,1777,159.028
"Occipital Sup R",1002.56,3513,1798.65,1.79865,1337,2190,1797.18,1821,175.633
"Occipital Mid L",1519.4,6548,3352.56,3.35256,1470,2263,1861.51,1880,161.549
"Occipital Mid R",1547.38,6311,3231.22,3.23122,1484,2307,1877.42,1895,156.852
"Occipital Inf L",1068.64,3261,1669.63,1.66963,1440,2454,1795.61,1777,175.985
"Occipital Inf R",1424.66,5271,2698.74,2.69874,1381,2263,1826.29,1807,177.837
"Fusiform L",2024.79,8802,4506.61,4.50661,1234,2322,1827.28,1851,210.527
"Fusiform R",1836.59,7502,3841.01,3.84101,1220,2425,1826.83,1851,195.797
"Postcentral L",1793.11,7668,3926,3.926,1352,2234,1750.69,1733,158.031
"Postcentral R",1869.35,8714,4461.55,4.46155,1293,2322,1773.05,1748,167.771
"Parietal Sup L",1260.96,5440,2785.27,2.78527,1337,2175,1814.2,1821,170.547
"Parietal Sup R",1343.05,6170,3159.03,3.15903,1396,2234,1836.93,1851,150.301
"Parietal Inf L",992.059,3602,1844.22,1.84422,1514,2175,1814.47,1807,146.378
"Parietal Inf R",1169.64,4358,2231.29,2.23129,1543,2175,1819.11,1807,132.589
"SupraMarginal L",916.402,3359,1719.8,1.7198,1396,2205,1858.53,1880,187.547
"SupraMarginal R",1008.91,3887,1990.14,1.99014,1484,2190,1837.27,1836,159.913
"Angular L",1068.41,3979,2037.24,2.03724,1499,2190,1818.58,1807,146.753
"Angular R",856.866,2653,1358.33,1.35833,1484,2146,1802.19,1792,125.668
"Precuneus L",2058.7,9441,4833.77,4.83377,1293,2190,1785.41,1792,186.117
"Precuneus R",1960.23,8859,4535.79,4.53579,1323,2293,1796.8,1807,190.134
"Paracentral Lobule L",866.213,3036,1554.43,1.55443,1293,2146,1696.43,1689,170.464
"Paracentral Lobule R",994.794,3870,1981.43,1.98143,1323,2175,1731.33,1704,179.857
"Caudate L",1193.48,2889,1479.16,1.47916,1381,2160,1701.43,1704,110.932
"Caudate R",1143.99,2502,1281.02,1.28102,1367,2190,1714.89,1718,113.87
"Putamen L",1045.72,4292,2197.5,2.1975,1455,1999,1703.27,1704,80.7038
"Putamen R",1038.52,4321,2212.34,2.21234,1455,1969,1723.28,1733,80.3692
"Thalamus L",1208.91,5853,2996.72,2.99672,1411,1984,1709.22,1718,93.5928
"Thalamus R",1193.91,5770,2954.23,2.95423,1425,2102,1731.9,1733,92.8
"Heschl L",605.82,1627,833.021,0.833021,1308,2043,1640.25,1616,138.169
"Heschl R",491.391,1377,705.021,0.705021,1337,2072,1670.66,1630,151.641
"Temporal Sup L",1767.6,7584,3882.99,3.88299,1176,2337,1772.84,1792,180.103
"Temporal Sup R",1865.47,8279,4238.83,4.23883,1117,2352,1758.01,1777,188.822
"Temporal Pole Sup L",693.275,1943,994.812,0.994812,1190,2307,1662.23,1630,253.602
"Temporal Pole Sup R",675.134,1876,960.508,0.960508,1102,2322,1638.88,1616,265.027
"Temporal Mid L",1840.29,7161,3666.42,3.66642,1234,2425,1797.86,1792,200.162
"Temporal Mid R",2033.33,7967,4079.09,4.07909,1234,2337,1796.57,1807,202.575
"Temporal Pole Mid L",367.711,956,489.47,0.48947,1161,2396,1780.27,1763,349.094
"Temporal Pole Mid R",343.054,892,456.702,0.456702,1176,2425,1753.05,1704,342.445
"Temporal Inf L",1924.36,8305,4252.14,4.25214,1278,2322,1835.28,1880,211.632
"Temporal Inf R",1597.85,6969,3568.11,3.56811,1249,2263,1817.29,1836,211.195
"CorpusCallosum",1990.66,3665,1876.47,1.87647,1278,2175,1657.49,1630,130.81
"Lateral Ventricle L",2252.48,5477,2804.21,2.80421,1705,3484,2604.29,2571,351.951
"Lateral Ventricle R",2250.63,5614,2874.36,2.87436,1690,3484,2575.06,2542,338.612
"Midbrain L",860.674,2944,1507.32,1.50732,676,2043,1586.11,1601,163.581
"Midbrain R",870.561,3006,1539.07,1.53907,705,2337,1591.73,1601,171.954
"Pons L",414.764,1174,601.086,0.601086,1367,2102,1619.16,1630,120.35
"Pons R",436.877,1296,663.55,0.66355,1337,2043,1624.53,1645,125.146
"Medulla L",957.464,2692,1378.3,1.3783,308,2087,1430.13,1439,229.044
"Medulla R",946.945,2687,1375.74,1.37574,352,2028,1398.86,1410,225.992
"Cerebellum L",2021.1,9865,5050.86,5.05086,1514,2396,1843.31,1836,95.1678
"Cerebellum R",1976.45,9831,5033.45,5.03345,1396,2337,1846.18,1836,96.5584
"Vermis Ant L",320.026,735,376.319,0.376319,1234,2146,1717.07,1733,169.938
"Vermis Ant R",328.149,766,392.191,0.392191,1249,2263,1722.46,1718,149.224
"Vermis Post L",705.432,1958,1002.49,1.00249,1073,2146,1675.85,1689,122.107
"Vermis Post R",756.919,2138,1094.65,1.09465,984,2102,1668.01,1674,142.239
"Vermis Cent L",257.796,559,286.207,0.286207,1587,2131,1875.87,1865,90.5271
"Vermis Cent R",333.712,788,403.454,0.403454,1602,2219,1892.32,1895,100.589
"Subthalamic Nuc L",97.5344,157,80.3837,0.0803837,1440,1690,1573.48,1571,56.0477
