"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",1038.1,2150,1100.8,1.1008,787,1625,1247.69,1267,147.51
"Hippocampus R",1147.17,2361,1208.83,1.20883,750,1625,1216.14,1230,152.373
"Amygdala L",168.971,343,175.615,0.175615,1021,1501,1311.03,1328,100.01
"Amygdala R",199.31,424,217.087,0.217087,1034,1452,1294.43,1303,90.2482
"Caudate L",1174.02,2898,1483.77,1.48377,972,1834,1371.8,1390,148.447
"Caudate R",1145.42,2857,1462.78,1.46278,923,1698,1352.49,1377,143.386
"Putamen L",1117.03,5055,2588.15,2.58815,1071,1834,1396.43,1402,89.6546
"Putamen R",1117,5001,2560.5,2.5605,1083,1858,1377.62,1377,83.5005
"Thalamus L",1343.81,6879,3522.03,3.52203,911,1760,1405.56,1414,122.226
"Thalamus R",1335.54,6773,3467.76,3.46776,911,1723,1389.75,1402,117.758
"CorpusCallosum",1869.75,3137,1606.14,1.60614,800,1895,1326.96,1303,175.245
"Lateral Ventricle L",2433.63,6333,3242.48,3.24248,1440,3484,2486.95,2448,438.083
"Lateral Ventricle R",2432.21,6164,3155.96,3.15596,1354,3484,2369.99,2325,416.002
"Midbrain L",3403.35,15203,7783.91,7.78391,184,1748,1153.31,1180,227.759
"Cerebellum L",2480.21,15813,8096.23,8.09623,320,1969,1435.78,1451,149.476
"Cerebellum R",2508.82,15974,8178.66,8.17866,381,2055,1423.98,1439,144.836
"Subthalamic Nuc L",90.4074,126,64.5118,0.0645118,1034,1341,1207.37,1217,69.7759
"Subthalamic Nuc R",100.053,145,74.2397,0.0742397,1058,1317,1211.39,1217,63.7688
"Hippocampal Comm",715.766,770,394.239,0.394239,738,2769,1794.68,1771,338.9
"Fornix",628.471,999,511.486,0.511486,627,1846,1211.62,1193,272.108
"Cortical Plate L",41484.8,125700,64358.2,64.3582,627,2105,1315.63,1328,142
"Cortical Plate R",41615.4,125158,64080.7,64.0807,590,1969,1312.94,1328,146.507
"White Matter L",26108.6,121244,62076.7,62.0767,923,2179,1654.8,1648,126.718
"White Matter R",26561.2,123212,63084.3,63.0843,911,2105,1635.07,1636,121.003
"Internal Capsule L",1530.48,3656,1871.86,1.87186,1071,1809,1516.87,1525,111.451
"Internal Capsule R",1604.97,3962,2028.54,2.02854,911,1834,1507.19,1525,112.122
"CSF",75497.3,234025,119820,119.82,12,3484,2015.97,2079,589.39
